trip_id,stop_sequence,stop_id,stop_headsign,arrival_time,departure_time,pickup_type,drop_off_type,timepoint,shape_dist_traveled,fare_units_traveled
45960531,25,1074,,21:33:00,21:33:00,0,0,0,16519,16519
45960531,24,210326,,21:30:00,21:30:00,0,0,0,14702,14702
45960531,23,238177,,21:28:00,21:28:00,0,0,0,13005,13005
45960531,22,125981,,21:26:00,21:26:00,0,0,0,11186,11186
45960531,21,882,,21:24:00,21:24:00,0,0,0,10225,10225
45960531,20,231,,21:20:00,21:20:00,0,0,0,7291,7291
45960531,18,1084,,21:20:00,21:20:00,0,0,0,7112,7112
45960531,17,644916,,21:19:00,21:19:00,0,0,0,6758,6758
45960531,16,561,,21:19:00,21:19:00,0,0,0,6426,6426
45960531,15,75,,21:18:00,21:18:00,0,0,0,6027,6027
45960531,14,1026,,21:17:00,21:17:00,0,0,0,5663,5663
45960531,12,1105,,21:16:00,21:16:00,0,0,0,4997,4997
45960531,11,225,,21:15:00,21:15:00,0,0,0,4459,4459
45960531,10,485,,21:14:00,21:14:00,0,0,0,3933,3933
45960531,9,1,,21:13:00,21:13:00,0,0,0,3551,3551
45960531,8,815,,21:12:00,21:12:00,0,0,0,3042,3042
45960531,7,197,,21:11:00,21:11:00,0,0,0,2640,2640
45960531,6,953,,21:10:00,21:10:00,0,0,0,2250,2250
45960531,4,336,,21:09:00,21:09:00,0,0,0,1584,1584
45960531,3,874,,21:07:00,21:07:00,0,0,1,969,969
45960531,2,643,,21:05:00,21:05:00,0,0,1,458,458
45960531,1,775,,21:03:00,21:03:00,0,1,1,0,0
